timestamps,,,,,Marker
1488767248.169,-482.563,-260.849,-12296.730,12578.193,0
1488767248.169,-253.496,-324.180,-11994.616,13279.812,0
1488767248.171,-290.779,-300.637,975.069,946.986,0
1488767248.184,-474.573,-213.862,315.597,428.060,0
1488767248.184,-286.809,-293.930,960.934,884.999,0
1488767248.186,-256.211,-321.740,1259.361,1568.512,0
1488767248.186,-477.811,-264.061,528.498,807.166,0
1488767248.200,-367.251,-269.566,1381.639,877.923,0
1488767248.200,-251.484,-335.003,1774.794,1718.740,0
1488767248.214,-366.905,-258.266,1128.423,889.840,0
1488767248.214,-468.757,-259.923,481.480,837.167,0
1488767248.216,-258.405,-328.434,748.021,1516.013,0
1488767248.216,-285.642,-293.083,-11.683,941.662,0
1488767248.230,-475.251,-222.580,-654.875,424.550,0
1488767248.230,-308.839,-311.066,-28.878,873.886,0
1488767248.244,-259.321,-323.393,268.371,1564.254,0
1488767248.244,-467.753,-256.125,-447.935,807.209,0
1488767248.246,-383.772,-282.832,396.775,862.913,0
1488767248.246,-230.561,-318.825,822.146,1746.503,0
1488767248.260,-378.747,-277.961,132.688,870.166,0
1488767248.260,-426.820,-222.717,-456.339,-105.046,0
1488767248.274,-265.430,-326.671,-252.393,513.845,0
1488767248.274,-333.276,-324.227,-1073.518,-99.943,0
1488767248.276,-508.752,-244.610,-1690.893,-601.090,0
1488767248.276,-306.892,-314.666,-1012.623,-112.470,0
1488767248.290,-266.541,-334.506,-735.704,557.389,0
1488767248.290,-495.755,-276.678,-1469.038,-206.298,0
1488767248.304,-402.948,-303.298,-593.227,-138.612,0
1488767248.304,-264.039,-343.828,-204.395,726.691,0
1488767248.306,-378.734,-273.830,-868.657,-120.745,0
1488767248.306,-455.989,-243.165,-1457.452,-129.780,0
1488767248.320,-230.318,-304.862,-1189.943,555.585,0
1488767248.320,-287.437,-291.389,-1984.095,-48.084,0
1488767248.334,-457.061,-205.926,-2589.679,-549.668,0
1488767248.334,-291.669,-299.420,-1950.928,-84.774,0
1488767248.336,-252.331,-312.278,-1698.120,571.760,0
1488767248.336,-464.941,-248.855,-2428.190,-197.523,0
1488767248.350,-382.287,-279.743,-1537.269,-112.790,0
1488767248.350,-240.502,-323.881,-1168.651,737.841,0
1488767248.364,-383.530,-278.802,-1870.309,-138.159,0
1488767248.364,-422.093,-222.208,-2404.789,-1077.072,0
1488767248.366,-286.344,-344.836,-2220.399,-469.535,0
1488767248.366,-343.538,-333.853,-3051.734,-1103.414,0
1488767248.380,-508.164,-245.048,-3629.458,-1575.558,0
1488767248.380,-300.389,-304.063,-2940.975,-1063.788,0
1488767248.394,-243.496,-309.969,-2687.546,-395.709,0
1488767248.394,-451.419,-240.494,-3417.575,-1160.298,0
1488767248.396,-379.708,-278.495,-2523.699,-1066.881,0
1488767248.396,-256.181,-339.774,-2168.130,-246.342,0
1488767248.410,-359.455,-252.385,-2867.181,-1103.594,0
1488767248.410,-468.013,-251.224,-3429.610,-1110.191,0
1488767248.424,-262.010,-324.504,-3190.194,-445.650,0
1488767248.424,-310.015,-302.769,-4020.624,-1066.642,0
1488767248.426,-482.765,-228.396,-4601.542,-1550.443,0
1488767248.426,-317.463,-316.971,-3947.473,-1074.890,0
1488767248.440,-258.087,-316.869,-3683.446,-403.502,0
1488767248.440,-458.220,-245.943,-4413.329,-1177.900,0
1488767248.454,-354.802,-262.922,-3460.771,-1050.940,0
1488767248.454,-245.229,-330.069,-3147.548,-247.705,0
1488767248.456,-411.482,-297.373,-3884.959,-1152.858,0
1488767248.456,-445.085,-241.900,-4359.313,-2069.631,0
1488767248.470,-254.536,-334.609,-4123.694,-1409.581,0
1488767248.470,-331.656,-330.385,-5005.338,-2064.509,0
1488767248.484,-517.402,-258.954,-5598.299,-2565.162,0
1488767248.484,-312.622,-315.389,-4884.877,-2036.211,0
1488767248.486,-271.324,-333.895,-4661.697,-1390.687,0
1488767248.486,-477.479,-266.305,-5413.518,-2185.124,0
1488767248.500,-411.404,-313.858,-4462.482,-2069.769,0
1488767248.500,-253.964,-345.580,-4108.491,-1215.667,0
1488767248.514,-375.873,-288.776,-4845.244,-2109.735,0
1488767248.514,-493.721,-283.980,-5366.829,-3072.550,0
